contrast,lower_population,higher_population,metric,common_seed_count,common_seeds,mean_difference,ci_low,ci_high,analysis_status,analysis_watermark
n2_minus_n1,1,2,total_tokens_per_submitted_turn,3,"13100,13101,13102",2168.4750000000004,1464.755,2746.8375,complete,
n2_minus_n1,1,2,total_tokens_per_actionable_turn,3,"13100,13101,13102",2456.390702005731,2293.8325,2746.8375,complete,
n2_minus_n1,1,2,delivered_bytes,3,"13100,13101,13102",19671.0,14732.0,23805.0,complete,
n2_minus_n1,1,2,delivered_bytes_per_submitted_turn,3,"13100,13101,13102",49.1775,36.83,59.51250000000001,complete,
n2_minus_n1,1,2,delivered_bytes_per_actionable_turn,3,"13100,13101,13102",50.97151146131805,42.212034383954155,59.51250000000001,complete,
n2_minus_n1,1,2,episode_wall_seconds,3,"13100,13101,13102",471.18133794832585,377.79727988597006,618.0296766789979,complete,
n2_minus_n1,1,2,mean_tick_wall_seconds,3,"13100,13101,13102",2.353148683523662,1.8887387434963605,3.089884341834986,complete,
n3_minus_n1,1,3,paper_base_percent,3,"13100,13101,13102",9.216589977343878,5.069124326109886,14.28571492433548,complete,
n3_minus_n1,1,3,paper_coord_percent,0,,,,,complete,
n3_minus_n1,1,3,paper_total_percent,3,"13100,13101,13102",6.372357780734698,4.0077462792396545,9.540152549743652,complete,
n3_minus_n1,1,3,episode_return,3,"13100,13101,13102",14.544444439311823,9.099999964237213,22.933333354691666,complete,
n3_minus_n1,1,3,team_unique_base_achievements,3,"13100,13101,13102",10.0,3.0,15.0,complete,
n3_minus_n1,1,3,team_unique_coord_achievements,0,,,,,complete,
n3_minus_n1,1,3,team_unique_total_achievements,3,"13100,13101,13102",12.0,7.0,17.0,complete,
n3_minus_n1,1,3,summed_agent_base_achievements,3,"13100,13101,13102",25.666666666666668,17.0,34.0,complete,
n3_minus_n1,1,3,summed_agent_coord_achievements,0,,,,,complete,
n3_minus_n1,1,3,summed_agent_total_achievements,3,"13100,13101,13102",29.0,23.0,38.0,complete,
n3_minus_n1,1,3,coordination_attempts,0,,,,,complete,
n3_minus_n1,1,3,coordination_resolved_attempts,0,,,,,complete,
n3_minus_n1,1,3,coordination_successes,0,,,,,complete,
n3_minus_n1,1,3,give_attempts,0,,,,,complete,
n3_minus_n1,1,3,successful_transfers,0,,,,,complete,
n3_minus_n1,1,3,requests,0,,,,,complete,
n3_minus_n1,1,3,revives,0,,,,,complete,
n3_minus_n1,1,3,deaths,3,"13100,13101,13102",1.3333333333333333,0.0,3.0,complete,
n3_minus_n1,1,3,action_parse_rate,3,"13100,13101,13102",-0.008234955453094902,-0.010849909584086825,-0.005639097744360888,complete,
n3_minus_n1,1,3,action_parse_success,3,"13100,13101,13102",308.3333333333333,249.0,347.0,complete,
n3_minus_n1,1,3,action_parse_fail,3,"13100,13101,13102",4.666666666666667,3.0,6.0,complete,
n3_minus_n1,1,3,action_parse_skipped_inactive,3,"13100,13101,13102",78.0,41.0,146.0,complete,
n3_minus_n1,1,3,environment_steps_completed,3,"13100,13101,13102",-3.0,-9.0,0.0,complete,
n3_minus_n1,1,3,agent_turns_submitted,3,"13100,13101,13102",391.0,373.0,400.0,complete,
n3_minus_n1,1,3,alive_agent_turns,3,"13100,13101,13102",379.6666666666667,342.0,400.0,complete,
n3_minus_n1,1,3,actionable_agent_turns,3,"13100,13101,13102",313.0,254.0,353.0,complete,
n3_minus_n1,1,3,alive_turn_fraction,3,"13100,13101,13102",-0.019700407213496234,-0.054101221640488695,0.0,complete,
n3_minus_n1,1,3,actionable_turn_fraction,3,"13100,13101,13102",-0.13107329842931936,-0.2433333333333333,-0.07155322862129143,complete,
n3_minus_n1,1,3,requested_environment_steps,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n1,1,3,step_completion_fraction,3,"13100,13101,13102",-0.015000000000000013,-0.04500000000000004,0.0,complete,
n3_minus_n1,1,3,intentional_actionable_noops,3,"13100,13101,13102",7.0,3.0,10.0,complete,
n3_minus_n1,1,3,parse_fallback_noops,3,"13100,13101,13102",4.666666666666667,3.0,6.0,complete,
n3_minus_n1,1,3,active_action_validation_fallback_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n1,1,3,active_residual_effective_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n1,1,3,inactive_billed_turns,3,"13100,13101,13102",78.0,41.0,146.0,complete,
n3_minus_n1,1,3,inactive_effective_noops,3,"13100,13101,13102",78.0,41.0,146.0,complete,
n3_minus_n1,1,3,canonical_submitted_noops,3,"13100,13101,13102",89.66666666666667,54.0,154.0,complete,
n3_minus_n1,1,3,effective_environment_noops,3,"13100,13101,13102",89.66666666666667,54.0,154.0,complete,
n3_minus_n1,1,3,executed_noops,3,"13100,13101,13102",89.66666666666667,54.0,154.0,complete,
n3_minus_n1,1,3,input_tokens,3,"13100,13101,13102",2766553.3333333335,2528462.0,2892709.0,complete,
n3_minus_n1,1,3,cached_input_tokens,3,"13100,13101,13102",1036373.3333333334,1010688.0,1050112.0,complete,
n3_minus_n1,1,3,uncached_input_tokens,3,"13100,13101,13102",1730180.0,1517774.0,1842597.0,complete,
n3_minus_n1,1,3,input_cache_fraction,3,"13100,13101,13102",0.2937964067981846,0.2846413107315302,0.31150703449610745,complete,
n3_minus_n1,1,3,output_tokens,3,"13100,13101,13102",247738.0,238146.0,266901.0,complete,
n3_minus_n1,1,3,reasoning_tokens,3,"13100,13101,13102",199007.0,187606.0,216723.0,complete,
n3_minus_n1,1,3,total_tokens,3,"13100,13101,13102",3014291.3333333335,2795363.0,3130855.0,complete,
n3_minus_n1,1,3,model_call_count,3,"13100,13101,13102",391.0,373.0,400.0,complete,
n3_minus_n1,1,3,provider_request_count,3,"13100,13101,13102",391.0,373.0,400.0,complete,
n3_minus_n1,1,3,recovered_transport_retry_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n1,1,3,transport_error_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n1,1,3,summed_model_latency_seconds,3,"13100,13101,13102",2029.9037957030232,1975.5339096335229,2065.1804097524146,complete,
n3_minus_n1,1,3,input_tokens_per_submitted_turn,3,"13100,13101,13102",2129.974842931937,2082.0778621291447,2191.9049999999997,complete,
n3_minus_n1,1,3,input_tokens_per_actionable_turn,3,"13100,13101,13102",3107.2569939626296,2518.459887218045,4089.916872246696,complete,
n3_minus_n1,1,3,total_tokens_per_submitted_turn,3,"13100,13101,13102",2241.877661431065,2148.6033333333335,2322.927984293194,complete,
n3_minus_n1,1,3,total_tokens_per_actionable_turn,3,"13100,13101,13102",3312.285457380556,2804.503270676692,4308.8046475770925,complete,
n3_minus_n1,1,3,delivered_bytes,3,"13100,13101,13102",66736.0,58092.0,72764.0,complete,
n3_minus_n1,1,3,delivered_bytes_per_submitted_turn,3,"13100,13101,13102",113.04216404886562,96.82,121.27333333333333,complete,
n3_minus_n1,1,3,delivered_bytes_per_actionable_turn,3,"13100,13101,13102",129.96577318498387,127.95594713656389,131.58047016274864,complete,
n3_minus_n1,1,3,episode_wall_seconds,3,"13100,13101,13102",799.0340244363373,734.1375995269627,866.2462650369853,complete,
n3_minus_n1,1,3,mean_tick_wall_seconds,3,"13100,13101,13102",4.1156365967720925,3.670078061942769,4.360151978889044,complete,
n4_minus_n1,1,4,paper_base_percent,3,"13100,13101,13102",5.222734436392784,0.9216591715812683,10.138249024748802,complete,
n4_minus_n1,1,4,paper_coord_percent,0,,,,,complete,
n4_minus_n1,1,4,paper_total_percent,3,"13100,13101,13102",6.195051719745,3.1755562871694565,9.326894953846931,complete,
n4_minus_n1,1,4,episode_return,3,"13100,13101,13102",13.241666665921608,4.049999997019768,21.299999997019768,complete,
n4_minus_n1,1,4,team_unique_base_achievements,3,"13100,13101,13102",8.666666666666666,2.0,14.0,complete,
n4_minus_n1,1,4,team_unique_coord_achievements,0,,,,,complete,
n4_minus_n1,1,4,team_unique_total_achievements,3,"13100,13101,13102",12.0,6.0,16.0,complete,
n4_minus_n1,1,4,summed_agent_base_achievements,3,"13100,13101,13102",27.0,14.0,36.0,complete,
n4_minus_n1,1,4,summed_agent_coord_achievements,0,,,,,complete,
n4_minus_n1,1,4,summed_agent_total_achievements,3,"13100,13101,13102",35.0,22.0,42.0,complete,
n4_minus_n1,1,4,coordination_attempts,0,,,,,complete,
n4_minus_n1,1,4,coordination_resolved_attempts,0,,,,,complete,
n4_minus_n1,1,4,coordination_successes,0,,,,,complete,
n4_minus_n1,1,4,give_attempts,0,,,,,complete,
n4_minus_n1,1,4,successful_transfers,0,,,,,complete,
n4_minus_n1,1,4,requests,0,,,,,complete,
n4_minus_n1,1,4,revives,0,,,,,complete,
n4_minus_n1,1,4,deaths,3,"13100,13101,13102",0.3333333333333333,0.0,1.0,complete,
n4_minus_n1,1,4,action_parse_rate,3,"13100,13101,13102",-0.013381347817614611,-0.019379844961240345,-0.010320334261838426,complete,
n4_minus_n1,1,4,action_parse_success,3,"13100,13101,13102",541.6666666666666,508.0,559.0,complete,
n4_minus_n1,1,4,action_parse_fail,3,"13100,13101,13102",11.0,8.0,15.0,complete,
n4_minus_n1,1,4,action_parse_skipped_inactive,3,"13100,13101,13102",47.333333333333336,26.0,82.0,complete,
n4_minus_n1,1,4,environment_steps_completed,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n4_minus_n1,1,4,agent_turns_submitted,3,"13100,13101,13102",600.0,600.0,600.0,complete,
n4_minus_n1,1,4,alive_agent_turns,3,"13100,13101,13102",595.0,585.0,600.0,complete,
n4_minus_n1,1,4,actionable_agent_turns,3,"13100,13101,13102",552.6666666666666,518.0,574.0,complete,
n4_minus_n1,1,4,alive_turn_fraction,3,"13100,13101,13102",-0.006250000000000015,-0.018750000000000044,0.0,complete,
n4_minus_n1,1,4,actionable_turn_fraction,3,"13100,13101,13102",-0.059166666666666666,-0.10250000000000004,-0.03249999999999997,complete,
n4_minus_n1,1,4,requested_environment_steps,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n4_minus_n1,1,4,step_completion_fraction,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n4_minus_n1,1,4,intentional_actionable_noops,3,"13100,13101,13102",17.666666666666668,9.0,32.0,complete,
n4_minus_n1,1,4,parse_fallback_noops,3,"13100,13101,13102",11.0,8.0,15.0,complete,
n4_minus_n1,1,4,active_action_validation_fallback_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n4_minus_n1,1,4,active_residual_effective_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n4_minus_n1,1,4,inactive_billed_turns,3,"13100,13101,13102",47.333333333333336,26.0,82.0,complete,
n4_minus_n1,1,4,inactive_effective_noops,3,"13100,13101,13102",47.333333333333336,26.0,82.0,complete,
n4_minus_n1,1,4,canonical_submitted_noops,3,"13100,13101,13102",76.0,50.0,104.0,complete,
n4_minus_n1,1,4,effective_environment_noops,3,"13100,13101,13102",76.0,50.0,104.0,complete,
n4_minus_n1,1,4,executed_noops,3,"13100,13101,13102",76.0,50.0,104.0,complete,
