campaign,condition,num_agents,replicates,total_team_return,return_per_agent,summed_unlocks,unlocks_per_agent,team_unique_total,summed_base,summed_coord,coord_share_percent
three_seed_screen,baseline,1,3,7.133333330353101,7.133333330353101,7.333333333333333,7.333333333333333,7.333333333333333,,,
three_seed_screen,baseline,2,3,28.566666660209496,14.283333330104748,16.0,8.0,10.333333333333334,,,
three_seed_screen,baseline,3,3,65.03333330899477,21.677777769664925,36.333333333333336,12.111111111111112,19.333333333333332,,,
three_seed_screen,baseline,4,3,81.49999998509884,20.37499999627471,42.333333333333336,10.583333333333334,19.333333333333332,,,
three_seed_screen,baseline,6,3,71.2999999821186,11.883333330353102,42.333333333333336,7.055555555555556,15.0,,,
matched_comparison,baseline,8,1,61.80000002682209,7.725000003352761,56.0,7.0,14.0,54.0,2.0,3.5714285714285716
matched_comparison,team_formation,8,1,76.0,9.5,51.0,6.375,19.0,43.0,8.0,15.686274509803921
matched_comparison,baseline,16,1,97.19999996572733,6.074999997857958,87.0,5.4375,15.0,83.0,4.0,4.597701149425287
matched_comparison,team_formation,16,1,162.7000001743436,10.168750010896474,114.0,7.125,16.0,103.0,11.0,9.649122807017545
matched_comparison,baseline,32,1,160.9999999627471,5.031249998835847,143.0,4.46875,18.0,138.0,5.0,3.4965034965034967
matched_comparison,team_formation,32,1,223.49999982863665,6.984374994644895,166.0,5.1875,21.0,149.0,17.0,10.240963855421686
